sleep_awake,sleep_bedtime_end,sleep_bedtime_start,sleep_breath_average,sleep_deep,sleep_duration,sleep_efficiency,sleep_hr_average,sleep_hr_lowest,sleep_light,sleep_midpoint_time,sleep_onset_latency,sleep_rem,sleep_restless,sleep_rmssd,sleep_score,sleep_score_deep,sleep_score_efficiency,sleep_score_latency,sleep_score_rem,sleep_score_total,summary_date,sleep_temperature_delta,sleep_temperature_deviation,sleep_temperature_trend_deviation,sleep_total,activity_average_met,activity_cal_active,activity_cal_total,activity_high,activity_inactive,activity_low,activity_medium,activity_score,activity_steps,readiness_score,readiness_score_activity_balance
4050,2019-09-20T09:02:55+03:00,2019-09-20T00:10:55+03:00,17.375,4410,31920,87,67.93,60,17850,15540,1020,5610,49,35,81,90,88,94,85,89,2019-09-20,-0.06,-0.06,,27870,1.34375,226,2344,0,712,248,9,87.0,5227,89,100
6450,2019-09-21T11:58:57+03:00,2019-09-21T01:03:57+03:00,17.0,7590,39300,84,64.54,55,19650,18390,480,5610,51,47,79,98,81,81,85,100,2019-09-21,-0.05,-0.05,0.11,32850,1.25,143,2164,1,644,151,5,83.0,3123,90,97
5610,2019-09-22T10:36:38+03:00,2019-09-22T02:25:38+03:00,16.625,4680,29460,81,55.81,50,17400,14190,390,1770,46,59,59,76,74,78,23,66,2019-09-22,-0.09,-0.09,0.12,23850,1.5,637,3251,1,555,280,53,84.0,11001,79,95
4170,2019-09-23T08:54:10+03:00,2019-09-23T02:02:10+03:00,17.125,6360,24720,83,55.92,51,12870,12300,870,1320,42,52,60,96,79,99,17,53,2019-09-23,-0.34,-0.34,0.0,20550,1.53125,587,3300,1,628,353,43,84.0,9430,74,73
2580,2019-09-24T08:59:15+03:00,2019-09-24T01:34:15+03:00,16.75,6630,26700,90,58.22,52,15000,13050,600,2490,43,61,67,96,96,86,33,67,2019-09-24,-0.36,-0.36,-0.09,24120,1.5,547,3244,1,634,341,31,79.0,8662,76,74
6360,2019-09-25T09:24:48+03:00,2019-09-25T01:35:48+03:00,17.125,6060,28140,77,60.52,53,14040,14430,1080,1680,43,55,58,95,65,91,22,58,2019-09-25,-0.16,-0.16,-0.07,21780,1.5625,713,3385,1,394,467,32,81.0,11867,69,74
5400,2019-09-26T09:09:48+03:00,2019-09-26T00:31:48+03:00,17.75,4920,31080,83,61.64,54,17970,16530,2430,2790,44,55,62,80,79,29,37,73,2019-09-26,-0.14,-0.14,-0.02,25680,1.5625,596,3331,0,615,420,34,78.0,9454,70,69
4140,2019-09-27T08:46:42+03:00,2019-09-27T03:44:42+03:00,16.75,3420,18120,77,58.86,52,10050,8910,450,510,44,51,40,55,65,81,7,28,2019-09-27,0.04,0.04,0.06,13980,1.59375,738,3437,2,579,392,53,85.0,13041,59,73
3510,2019-09-28T09:41:41+03:00,2019-09-28T01:37:41+03:00,17.5,7050,29040,88,61.57,55,15180,15300,300,3300,39,57,69,97,90,72,44,73,2019-09-28,-0.11,-0.11,0.06,25530,1.5625,689,3354,3,539,360,43,90.0,12112,71,69
4260,2019-09-29T10:10:21+03:00,2019-09-29T02:03:21+03:00,17.375,7590,29220,85,60.78,52,15210,14850,390,2160,36,60,67,98,83,78,28,71,2019-09-29,0.14,0.14,0.14,24960,1.4375,487,3089,1,534,307,30,86.0,8204,72,71
3540,2019-09-30T09:23:54+03:00,2019-09-30T01:06:54+03:00,17.25,7140,29820,88,58.63,53,16380,15090,1020,2760,44,67,71,97,90,94,37,76,2019-09-30,-0.05,-0.05,0.14,26280,1.53125,578,3289,2,545,406,24,83.0,9597,79,77
6270,2019-10-01T08:32:15+03:00,2019-10-01T01:27:15+03:00,17.0,3600,25500,75,61.9,55,14580,14100,1260,1050,45,56,49,58,62,83,14,48,2019-10-01,0.13,0.13,0.19,19230,1.46875,476,3154,3,620,351,16,85.0,8052,65,77
4260,2019-10-02T09:35:18+03:00,2019-10-02T01:02:18+03:00,17.25,5580,30780,86,58.92,53,17280,15150,810,3660,47,61,70,91,86,97,49,77,2019-10-02,0.02,0.02,0.19,26520,1.5625,729,3381,2,477,383,50,91.0,11330,79,79
5130,2019-10-03T09:01:48+03:00,2019-10-03T00:13:48+03:00,16.875,4260,31680,84,59.06,53,18270,16440,2010,4020,40,59,67,69,81,48,54,77,2019-10-03,0.11,0.11,0.23,26550,1.59375,668,3418,2,620,451,28,93.0,10794,78,75
1710,2019-10-04T08:38:58+03:00,2019-10-04T04:00:58+03:00,17.625,5550,16680,90,61.04,56,9060,8580,1080,360,43,56,53,91,95,91,5,32,2019-10-04,0.02,0.02,0.21,14970,1.53125,649,3293,1,464,363,39,93.0,10778,59,75
5790,2019-10-05T10:13:27+03:00,2019-10-05T00:16:27+03:00,17.5,6390,35820,84,60.13,51,20370,19140,660,3270,39,65,74,96,81,89,44,90,2019-10-05,0.34,0.34,0.31,30030,1.46875,621,3211,1,345,335,46,95.0,10228,77,74
24270,2019-10-06T13:29:02+03:00,2019-10-05T23:37:02+03:00,18.0,5610,49920,51,95.01,69,12960,14280,510,7080,38,20,69,92,18,83,95,73,2019-10-06,0.49,0.49,0.64,25650,1.34375,448,2921,1,474,196,36,94.0,7234,54,76
5880,2019-10-07T09:06:16+03:00,2019-10-07T00:47:16+03:00,16.5,5010,29940,80,60.26,53,17130,16020,1980,1920,38,81,59,82,72,51,25,67,2019-10-07,-0.07,-0.07,0.39,24060,1.5,580,3260,0,397,491,18,96.0,9439,76,79
