sleep_awake,sleep_bedtime_end,sleep_bedtime_start,sleep_breath_average,sleep_deep,sleep_duration,sleep_efficiency,sleep_hr_average,sleep_hr_lowest,sleep_light,sleep_midpoint_time,sleep_onset_latency,sleep_rem,sleep_restless,sleep_rmssd,sleep_score,sleep_score_deep,sleep_score_efficiency,sleep_score_latency,sleep_score_rem,sleep_score_total,summary_date,sleep_temperature_delta,sleep_temperature_deviation,sleep_temperature_trend_deviation,sleep_total,activity_average_met,activity_cal_active,activity_cal_total,activity_high,activity_inactive,activity_low,activity_medium,activity_score,activity_steps,readiness_score,readiness_score_activity_balance
2580,2020-03-28T14:08:52+03:00,2020-03-28T07:10:52+03:00,13.5,5910,25080,90,55.68,52,13860,12510,300,2730,44,64,59,95,95,72,37,61,2020-03-28,-0.27,-0.27,,22500,2.03125,1453,3486,83,445,139,98,96.0,13928,79,0
3930,2020-03-29T10:37:14+03:00,2020-03-29T01:10:14+03:00,13.5,5190,34020,88,58.04,50,20670,18060,1260,4230,33,61,75,85,93,83,57,91,2020-03-29,-0.01,-0.01,0.14,30090,1.75,948,2991,0,564,179,177,93.0,19840,71,0
3570,2020-03-30T11:23:16+03:00,2020-03-30T04:31:16+03:00,13.5,5160,24720,86,59.41,53,13950,12360,570,2040,31,55,57,84,86,86,27,56,2020-03-30,-0.07,-0.07,0.16,21150,1.3125,208,2262,0,570,267,3,89.0,4730,70,83
2700,2020-03-31T08:57:01+03:00,2020-03-31T02:19:01+03:00,13.75,6240,23880,89,55.39,48,11010,12210,1140,3930,26,62,66,96,93,89,53,56,2020-03-31,-0.17,-0.17,0.05,21180,1.25,124,2129,0,742,139,4,87.0,2702,80,99
3630,2020-04-01T08:55:38+03:00,2020-04-01T01:32:38+03:00,14.25,4650,26580,86,59.2,53,15930,13980,1050,2370,23,59,64,76,86,91,32,63,2020-04-01,-0.15,-0.15,-0.07,22950,1.25,117,2164,0,746,161,2,80.0,2642,76,94
2940,2020-04-02T08:55:52+03:00,2020-04-02T02:33:52+03:00,13.625,4830,22920,87,54.47,49,13770,12180,1080,1380,35,60,58,79,88,91,18,51,2020-04-02,-0.11,-0.11,-0.06,19980,1.28125,116,2180,0,850,144,1,72.0,2672,75,89
3690,2020-04-03T09:16:47+03:00,2020-04-03T02:28:47+03:00,13.625,5850,24480,85,57.98,51,12450,13050,1200,2490,28,58,60,95,83,86,33,54,2020-04-03,0.18,0.18,0.07,20790,1.21875,100,2114,0,689,115,2,70.0,2442,71,85
3690,2020-04-04T12:34:42+03:00,2020-04-04T02:07:42+03:00,13.25,5730,37620,90,55.59,50,21300,19350,1770,6900,41,64,79,94,95,59,93,100,2020-04-04,0.28,0.28,0.23,33930,1.15625,71,2005,0,239,97,2,64.0,1561,84,83
3960,2020-04-05T12:38:34+03:00,2020-04-05T05:35:34+03:00,14.0,3060,25380,84,61.69,52,16350,13560,1710,2010,42,59,50,49,81,62,27,57,2020-04-05,-0.16,-0.16,0.21,21420,1.21875,107,2080,0,689,146,1,43.0,2510,65,82
6240,2020-04-06T11:28:32+03:00,2020-04-06T02:49:32+03:00,13.5,9480,31140,80,54.0,47,13350,16230,2550,2070,26,68,58,100,72,24,27,70,2020-04-06,-0.19,-0.19,0.02,24900,1.28125,171,2216,0,718,206,3,44.0,3860,77,81
2370,2020-04-07T10:52:29+03:00,2020-04-07T05:03:29+03:00,13.125,7740,20940,89,56.19,51,8910,10290,1140,1920,29,57,60,98,93,89,25,46,2020-04-07,-0.01,-0.01,0.0,18570,1.4375,393,2445,0,569,310,30,51.0,8392,71,82
3180,2020-04-08T11:28:27+03:00,2020-04-08T02:08:27+03:00,13.625,7230,33600,91,55.52,49,18030,16620,480,5160,31,73,79,97,96,81,69,92,2020-04-08,0.13,0.13,0.14,30420,1.71875,916,2955,35,455,267,62,72.0,11536,84,88
