sleep_awake,sleep_bedtime_end,sleep_bedtime_start,sleep_breath_average,sleep_deep,sleep_duration,sleep_efficiency,sleep_hr_average,sleep_hr_lowest,sleep_light,sleep_midpoint_time,sleep_onset_latency,sleep_rem,sleep_restless,sleep_rmssd,sleep_score,sleep_score_deep,sleep_score_efficiency,sleep_score_latency,sleep_score_rem,sleep_score_total,summary_date,sleep_temperature_delta,sleep_temperature_deviation,sleep_temperature_trend_deviation,sleep_total,activity_average_met,activity_cal_active,activity_cal_total,activity_high,activity_inactive,activity_low,activity_medium,activity_score,activity_steps,readiness_score,readiness_score_activity_balance
4590,2020-05-09T12:02:22+03:00,2020-05-09T02:52:22+03:00,15.625,8850,33000,86,52.24,49,14490,15510,840,5070,25,55,79,100,86,97,77,91,2020-05-09,-0.07,-0.07,0.02,28410,1.40625,341,2447,0,540,263,31,91.0,7485,88,0
4320,2020-05-10T13:06:44+03:00,2020-05-10T03:01:44+03:00,15.5,6840,36300,88,51.58,48,17220,18060,510,7920,29,56,82,98,90,83,98,99,2020-05-10,0.02,0.02,0.08,31980,1.375,370,2426,0,509,190,48,87.0,8916,90,0
2460,2020-05-11T08:13:20+03:00,2020-05-11T01:33:20+03:00,15.375,5850,24000,90,52.29,46,9330,12390,1950,6360,26,57,73,96,95,51,95,62,2020-05-11,0.1,0.1,0.18,21540,1.84375,983,3195,2,429,389,159,88.0,22977,77,80
3330,2020-05-12T08:13:07+03:00,2020-05-12T00:34:07+03:00,15.375,5760,27540,88,56.98,51,13200,14460,750,5250,22,46,77,96,90,94,79,73,2020-05-12,0.26,0.26,0.21,24210,1.4375,284,2474,0,637,344,2,84.0,5874,69,47
5550,2020-05-13T11:28:32+03:00,2020-05-13T01:05:32+03:00,15.625,9720,37380,85,49.88,45,15780,17520,540,6330,29,65,83,100,83,83,95,99,2020-05-13,-0.12,-0.12,0.21,31830,1.375,272,2388,0,515,324,2,79.0,6093,86,69
3870,2020-05-14T10:41:49+03:00,2020-05-14T01:20:49+03:00,15.375,7140,33660,89,48.72,45,16650,16800,990,6000,34,72,83,98,93,94,90,96,2020-05-14,-0.32,-0.32,0.03,29790,1.5625,581,2727,1,381,424,57,77.0,12403,88,73
5700,2020-05-15T10:22:53+03:00,2020-05-15T00:54:53+03:00,15.5,7320,34080,83,52.36,49,15150,17220,2280,5910,32,52,74,98,79,37,89,91,2020-05-15,0.13,0.13,0.06,28380,1.5,397,2593,0,523,439,15,75.0,8516,82,66
1980,2020-05-16T11:51:12+03:00,2020-05-16T03:17:12+03:00,15.125,8220,30840,94,50.81,46,12600,15240,300,8040,25,57,81,99,99,72,98,93,2020-05-16,-0.21,-0.21,0.06,28860,1.375,310,2400,0,586,269,11,71.0,6731,87,74
5010,2020-05-17T11:00:58+03:00,2020-05-17T03:01:58+03:00,15.875,7500,28740,83,53.34,48,11250,13350,540,4980,25,53,70,98,79,83,75,72,2020-05-17,0.11,0.11,0.16,23730,1.46875,433,2558,1,492,328,41,72.0,8676,75,78
4200,2020-05-18T11:31:19+03:00,2020-05-18T01:17:19+03:00,15.875,11550,36840,89,53.2,49,13140,17730,720,7950,26,56,85,100,93,91,98,100,2020-05-18,-0.16,-0.16,0.13,32640,1.3125,201,2307,0,465,264,4,60.0,4235,86,77
3210,2020-05-19T10:16:11+03:00,2020-05-19T01:45:11+03:00,16.125,10140,30660,90,51.84,48,12240,14760,510,5070,33,54,78,100,95,83,77,87,2020-05-19,-0.05,-0.05,0.12,27450,1.40625,295,2463,0,538,383,5,58.0,6506,86,85
